Step,Loss
0,5900.20458984375
100,5183.69921875
200,4742.39404296875
300,4460.98486328125
400,4260.4365234375
500,4109.77392578125
600,3992.02294921875
700,3897.07666015625
800,3818.84619140625
900,3753.4365234375
1000,3697.8720703125
1100,3649.9345703125
1200,3608.03515625
1300,3571.3037109375
1400,3538.7783203125
1500,3509.939453125
1600,3484.3359375
1700,3461.53466796875
1800,3440.9892578125
1900,3422.4501953125
2000,3405.64208984375
2100,3390.50244140625
2200,3376.908203125
2300,3364.64013671875
2400,3353.498046875
2500,3343.32666015625
2600,3333.98291015625
2700,3325.43798828125
2800,3317.6708984375
2900,3310.562255859375
3000,3304.049072265625
